Time,l_per,l_abs,b_per,b_abs
1660839336,21.9,1901,10.5,745
1660839338,23.0,1996,11.2,793
1660839339,23.0,1999,11.2,794
1660839336,23.0,1999,11.2,794
1660839338,23.0,1999,11.2,794
1660839339,23.0,1999,11.2,794
1660839343,23.1,2005,11.3,798
1660839348,23.2,2008,11.3,799
1660839348,23.2,2008,11.3,800
1660839350,23.2,2008,11.3,800
1660839351,23.2,2008,11.3,801
1660839352,23.3,2022,11.3,804
1660839353,23.3,2025,11.4,805
1660839355,23.4,2027,11.4,806
1660839356,23.4,2029,11.4,807
1660839358,23.4,2031,11.4,808
1660839362,23.5,2035,11.4,810
1660839363,23.5,2035,11.4,810
1660839369,23.5,2040,11.5,814
1660839370,23.6,2047,11.5,818
1660839372,23.6,2050,11.6,821
1660839374,23.7,2056,11.6,825
1660839375,23.7,2059,11.7,826
1660839377,23.8,2061,11.7,827
1660839378,24.0,2082,11.8,835
1660839380,24.1,2094,12.0,848
1660839381,24.2,2096,12.0,849
1660839387,24.2,2096,12.0,849
1660839389,24.2,2096,12.0,849
1660839392,24.2,2096,12.0,849
1660839393,24.2,2096,12.0,849
1660839395,24.2,2096,12.0,849
1660839398,24.2,2096,12.0,849
1660839401,24.2,2096,12.0,849
1660839402,24.2,2096,12.0,849
1660839407,24.2,2096,12.0,849
1660839409,24.2,2096,12.0,849
1660839411,24.2,2096,12.0,849
1660839425,24.2,2096,12.0,849
1660839426,24.3,2111,12.0,852
1660839427,24.3,2111,12.0,853
1660839429,24.3,2111,12.0,853
1660839440,24.4,2114,12.1,854
1660839447,24.4,2114,12.1,854
1660839449,24.4,2114,12.1,854
1660839457,24.4,2114,12.1,854
1660839466,24.4,2114,12.1,854
1660839475,24.4,2114,12.1,854
1660839490,24.5,2126,12.1,857
1660839509,24.5,2126,12.1,857
1660839521,24.5,2126,12.1,857
1660839522,24.5,2126,12.1,857
1660839527,24.5,2126,12.1,857
1660839530,24.5,2126,12.1,857
1660839530,24.5,2126,12.1,857
1660839533,24.5,2126,12.1,857
1660839536,24.5,2126,12.1,857
1660839540,24.7,2140,12.1,860
1660839550,24.7,2142,12.2,861
1660839551,24.7,2144,12.2,862
1660839552,24.7,2146,12.2,863
1660839554,24.8,2148,12.2,864
1660839555,24.8,2148,12.2,864
1660839615,24.8,2148,12.2,866
1660839656,25.1,2180,12.5,887
1660839909,25.1,2180,12.5,888
1660839919,25.1,2180,12.5,888
1660839938,25.1,2180,12.5,888
1660839970,25.1,2180,12.5,888
1660839990,25.1,2180,12.5,888
1660839993,25.1,2180,12.5,888
1660840058,25.1,2180,12.5,888
1660840068,25.1,2180,12.5,888
1660840130,25.1,2180,12.5,888
1660840142,25.1,2180,12.5,888
1660840250,25.1,2180,12.5,888
1660840253,25.1,2180,12.5,888
1660840258,25.1,2180,12.5,888
1660840260,25.1,2180,12.5,888
1660840264,25.1,2180,12.5,888
1660840266,25.1,2180,12.5,888
1660840269,25.2,2183,12.5,889
1660840276,25.2,2186,12.6,890
1660840286,25.2,2186,12.6,890
1660840288,25.4,2202,12.6,893
1660840298,25.4,2202,12.6,893
1660840308,25.4,2202,12.6,893
1660840311,25.7,2229,12.8,905
1660840320,25.7,2229,12.8,905
1660840326,25.7,2231,12.8,906
1660840343,25.8,2234,12.8,907
1660840366,25.8,2234,12.8,907
1660840379,25.8,2237,12.8,908
1660840383,25.8,2237,12.8,908
1660840392,25.8,2237,12.8,909
1660840437,25.8,2241,12.8,910
1660840546,25.9,2244,12.9,911
1660840571,25.9,2244,12.9,911
1660840696,25.9,2244,12.9,911
1660840760,26.1,2263,13.2,933
1660843119,26.1,2266,13.2,934
1660843177,26.1,2266,13.2,934
1660843182,26.1,2266,13.2,934
1660843222,26.1,2266,13.2,934
1660843262,26.1,2266,13.2,934
1660843272,26.1,2266,13.2,934
1660843389,26.1,2266,13.2,934
1660843390,26.1,2266,13.2,934
1660843664,26.1,2266,13.2,934
1660843993,26.1,2266,13.2,935
1660844230,26.2,2270,13.2,937
1660845524,26.2,2270,13.2,937
1660846643,26.2,2270,13.2,937
1660847755,26.2,2270,13.2,937
1660847759,26.2,2273,13.2,938
1660847811,26.3,2279,13.3,942
1660847813,26.3,2281,13.3,944
1660847890,26.3,2282,13.4,946
1660848035,26.3,2282,13.4,947
1660848587,26.3,2282,13.4,947
1660848592,26.3,2282,13.4,947
1660848608,26.3,2282,13.4,947
1660848685,26.3,2283,13.4,948
1660848693,26.3,2285,13.4,950
1660848753,26.3,2285,13.4,951
1660848765,26.3,2285,13.4,951
1660848787,26.3,2285,13.4,951
1660849832,26.4,2287,13.4,952
1660849949,26.4,2287,13.4,952
1660852404,26.4,2287,13.4,952
1660857369,26.4,2287,13.4,952
1660857431,26.4,2287,13.4,953
1660857466,26.4,2287,13.4,953
1660857889,26.4,2287,13.4,953
1660857939,26.4,2287,13.4,953
1660858902,26.4,2287,13.4,953
1660860358,26.4,2287,13.4,953
1660861680,26.4,2287,13.5,954
1660861863,26.4,2287,13.5,954
1660863051,26.4,2287,13.5,954
1660864003,26.4,2287,13.5,956
1660864024,26.4,2287,13.5,956
1660864041,26.4,2290,13.5,957
1660864106,26.4,2290,13.5,957
1660868863,26.4,2290,13.5,957
1660868917,26.4,2290,13.5,957
1660868966,26.4,2290,13.5,957
1660870214,26.4,2290,13.5,957
1660872064,26.4,2293,13.5,959
1660872956,26.4,2293,13.5,959
1660873178,26.4,2293,13.5,959
